date of purchase,book TITLE,price of  book ,qty of book ,after cut charges paybele
17-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,TGT Eligibility Digest (Physical and Health Education)- Paperba,850,1,500
18-06-2021,Physical Education - UGC - Net Digest (Second Revised and Updated,2100,1,1500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna,650,1,500
18-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
18-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
18-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
18-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,Sharirik Shiksa Ek Samagra Adhyayan [Hardcover],1170,1,750
18-06-2021,"U.P- TGT EXAM , SAMPURN SHARIRIK SHIKSHA (PHYSIC",500,1,300
18-06-2021,Physical Education Universe (Book for all Competitive Exams),500,1,350
18-06-2021,Khelo Ke Niyum (Rules of Games) [Paperback] [2019],600,1,400
18-06-2021,Sharirik Shiksha Me Anusandhan Tatha Sankhyiki (Research and,350,1,200
18-06-2021,"T.G.T., P.G.T., K.V.S., N.V.S., D.S.S.S.B-SHARIRIK SHIKSHA ( OBJECTIVE",350,1,200
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
19-06-2021,Physical Education Universe,500,1,344
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
19-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
19-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,269
19-06-2021,Physical Education Universe,500,1,344
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,Khelo Ke Niyum,600,1,419
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
19-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,438
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Rules of Games and Sports - 2021,250,1,134
21-06-2021,Sharirik Shiksha Me Anusandhan Tatha Sankhyiki,300,2,499
21-06-2021,Physical Education and Sports Science,700,1,477
21-06-2021,Physical Education Universe,500,1,356
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Khel Manovigyan,300,1,139
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,2,998
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Physical Education Universe,500,1,319
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharir Rachna Tatha Sharir Kriya Vigyan,200,1,99
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,UGC NET Paper-II Manovigyan,400,1,206
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Physical Education Universe,500,1,344
21-06-2021,Physical Education Universe,500,1,344
21-06-2021,UGC NET Paper-II Manovigyan,400,1,206
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Rules of Games and Sports - 2021,250,1,109
21-06-2021,Physical Education and Sports Science,700,1,428
21-06-2021,Physical Education Universe,500,1,344
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,469
21-06-2021,Physical Education and Sports Science,700,1,428
21-06-2021,Sharirik Shiksha - Ek Samagra Adhyayan (Vastunishtha Prashna Shrankhla),650,1,500
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,720
21-06-2021,SAMPURN SHARIRIK SHIKSHA,500,1,303
21-06-2021,Physical Education Universe,500,1,344
21-06-2021,Sharirik shiksha ek samagra adhyayan,1170,1,652
